name,psnr,ssim,lpips
001408,32.14309285701842,0.9403410045185163,0.08493266999721527
001455,33.6407713025097,0.8817185733482837,0.14243333041667938
001470,24.38763489347808,0.8155545237977998,0.1534949541091919
001481,27.80017516988593,0.7838784209108901,0.15335600078105927
001494,33.5678607371341,0.8741431197310607,0.21823491156101227
001516,23.317870061979512,0.7902960197141469,0.16019058227539062
001550,29.600220404793927,0.855951795331046,0.1687297523021698
001556,28.818357911014516,0.8586449491897226,0.23697589337825775
001718,30.618413082611504,0.7389572489447892,0.14160501956939697
001728,24.30546748488119,0.8774095005127192,0.08986930549144745
001731,19.05893106408614,0.653024276627291,0.23505905270576477
001839,25.164349997107873,0.7914203813017793,0.14372830092906952
001857,34.969398019629885,0.9339590688592195,0.07162521034479141
001881,26.147926990482087,0.7792894746006802,0.17409925162792206
001893,24.278662510980148,0.7827817284643147,0.13277797400951385
002069,36.09197970521409,0.9299833508896828,0.05181039869785309
002187,31.956745913892597,0.9007842912225872,0.10981396585702896
002196,23.154577132148066,0.8242633520550086,0.12667420506477356
002232,30.337563968043955,0.7799675363202616,0.19934776425361633
002233,28.71071171204616,0.790194015352467,0.18574784696102142
002261,31.78018933734791,0.8536787693150043,0.19985076785087585
002298,29.750493662597293,0.8203209370635748,0.11634569615125656
002364,26.67419702423134,0.7677576421494512,0.16419696807861328
002413,33.97268805289764,0.9344034108436108,0.06957248598337173
002418,27.422636249753932,0.8114967041852065,0.14380088448524475
002465,26.866138738257575,0.7774665244209533,0.16500650346279144
002472,21.736628081217688,0.8068620134842396,0.126339852809906
002495,21.630524669503867,0.6174121578184744,0.15921035408973694
002533,18.39434071807779,0.5295718425597798,0.41200757026672363
002574,34.102252515324295,0.8996113852972984,0.07757148146629333
002600,30.24759777787446,0.8060842432151138,0.16277389228343964
002603,27.935854346932103,0.6955177929746715,0.17935413122177124
002619,26.621580511416898,0.8325574435358756,0.14906911551952362
002654,23.070236531304232,0.6890646166293435,0.21824786067008972
002661,33.121505875333234,0.9017209273527861,0.16878896951675415
002708,25.445015923961385,0.600333538548053,0.29364877939224243
002745,30.875202494988102,0.8009547275717258,0.1973881721496582
002771,24.9251715584656,0.4937450491545047,0.23796799778938293
002799,28.84638309216433,0.5154732871758938,0.1777855008840561
002859,37.1201928306622,0.8813033305149078,0.08729799091815948
002872,32.68242871436141,0.835934250892058,0.1622055023908615
002874,31.495063675563316,0.8458672011182308,0.3042947053909302
002885,25.88437896318379,0.747802718740832,0.17098262906074524
002932,27.799499187353117,0.8230874170496464,0.14770060777664185
002986,26.989284265852476,0.4441497504254431,0.453643798828125
002988,26.939225934284558,0.5879190941332056,0.3312927186489105
003016,22.590594549404802,0.7718216104731264,0.15329578518867493
003033,23.80920426163192,0.5868129021965829,0.278969407081604
003037,29.2375857003288,0.9196031984555721,0.05394178628921509
003108,28.55521148487465,0.7606474535199199,0.27617761492729187
003127,35.70725922045397,0.8964432941904068,0.06728389859199524
003151,30.678153899711305,0.8555514300162425,0.1145377978682518
003158,27.393999293915925,0.4232333481038958,0.15239161252975464
